Graded Commit:7c8941521b249efd27d43019d88dacf2f052c867

TEST NAME, POINTS,OUT OF
basecode_tests_suite/help_system_test,1,1,
basecode_tests_suite/validargs_compress_test,1,1,
basecode_tests_suite/validargs_error_test,1,1,
basecode_tests_suite/validargs_help_test,1,1,
blackbox_suite/blackbox_pipecomp_1,1,1,
blackbox_suite/blackbox_pipedecomp_1,1,1,
compress_suite/comp_ret_1,1,1,
compress_suite/comp_ret_2,1,1,
compress_suite/comp_ret_3,0,1,
compress_suite/compress_2mb,0,1,
compress_suite/compress_empty,0,1,"1 assertion(s) failed.: tests/hw1_grading_tests.c:830: Wrong return value from function: expected 2, was 6"
compress_suite/inverse_1,1,1,
compress_suite/inverse_2,1,1,
decompress_suite/decomp_empty,1,1,
decompress_suite/decomp_no_eot,0,1,
decompress_suite/decomp_trunc,0,1,
decompress_suite/decomp_trunc_compare,0,1,
decompress_suite/decomp_unexp_sob,0,1,"1 assertion(s) failed.: tests/hw1_grading_tests.c:742: Wrong return value from function: expected -1, was 1016"
decompress_suite/decomp_valid_compare,1,1,
digram_suite/digram_delete_1,1,1,
digram_suite/digram_delete_2,1,1,
digram_suite/digram_delete_3,1,1,
digram_suite/digram_get_1,1,1,
digram_suite/digram_get_2,1,1,
digram_suite/digram_get_3,1,1,
digram_suite/digram_get_4,0,1,1 assertion(s) failed.: tests/hw1_grading_tests.c:511: failed lookup on an existing digram (wrapping around the table with TOMBSTONEs)
digram_suite/digram_put_1,1,1,
digram_suite/digram_put_2,1,1,
digram_suite/digram_put_3,0,1,
digram_suite/digram_put_4,1,1,
digram_suite/init_digram_hash_1,1,1,
rules_suite/add_rule_1,1,1,
rules_suite/init_rules,0,1,1 assertion(s) failed.: tests/hw1_grading_tests.c:324: rule_map at index 0 not NULL!
rules_suite/new_rule_1,1,1,
rules_suite/new_rule_2,1,1,
symbols_suite/init_symbols,1,1,
symbols_suite/new_symbol_1,1,1,
symbols_suite/new_symbol_2,1,1,
symbols_suite/new_symbol_3,1,1,
validargs_suite/validargs_1,1,1,
validargs_suite/validargs_10,1,1,
validargs_suite/validargs_11,1,1,
validargs_suite/validargs_12,1,1,
validargs_suite/validargs_2,1,1,
validargs_suite/validargs_3,1,1,
validargs_suite/validargs_4,1,1,
validargs_suite/validargs_5,1,1,
validargs_suite/validargs_6,1,1,
validargs_suite/validargs_7,1,1,
validargs_suite/validargs_8,1,1,
validargs_suite/validargs_9,1,1,
total,41,51
